critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
bojana-duric,fresh,3/5,england_is_mine,Gives Morrissey and Smiths fans a dose of what life was like for the brooding musician before his days as a leading front man.,England Is Mine (2017)
bonnie-burton,fresh,,absolutely_fabulous_the_movie,"Sure, the movie is jam-packed with celebrity cameos and shoutouts to the original TV series, but it's the friendship between Edina and Patsy that shines the brightest in this movie.",Absolutely Fabulous: The Movie (2016)
bonnie-fazio,rotten,2.5/4,mister_foe,Another successful and intriguing entry in Mackenzie's growing oeuvre.,Hallam Foe (Mister Foe) (2007)
bonnie-fazio,fresh,3/4,shotgun_stories,"Writer/director Jeff Nichols is one to watch. He has fashioned a simple but powerful cautionary tale, equal parts Southern Gothic and Greek tragedy, and has given a familiar kind of material a fresh spin.",Shotgun Stories (2007)
bonnie-fazio,rotten,2.5/4,then_she_found_me,"If it's not a completely satisfying film, it's not a completely mediocre one, either. See it if the subject matter intrigues, or you're a fan of one or more of the actors.",Then She Found Me (2007)
bonnie-fazio,fresh,3/4,page_turner,Quietly suspenseful.,The Page Turner (La Tourneuse de pages) (2006)
bonnie-fazio,fresh,3/4,coeurs,"Whether or not uneven character-identification was part of Renais' intention, we leave the theater under the film's delicate spell, anxious to discuss the possibilities with other viewers.",Coeurs (2007)
bonnie-fazio,fresh,3/4,into_great_silence,"The film's pacing and its meditative, almost hypnotic quality are completely in fulfillment of [director] Gröning's intentions, not at all a failure to engage. Silence won't engage everyone, but it achieves its purpose.",Into Great Silence (2007)
bonnie-fazio,fresh,3.5/4,hear_and_now,"Irene Taylor Brodsky's documentary about her parents' late-in-life decision to undergo cochlear-implant surgery is a moving tribute to her folks and their accomplishments, and an engrossing emotional roller-coaster for filmgoers.",Hear and Now (2007)
bonnie-fazio,fresh,3/4,notorious_betty_page,"Director Harron refrains from moralizing (against very soft-core but sometimes kink-oriented porn) or making political statements (supporting First Amendment rights), but her treatment of Page herself is decidedly affectionate.",The Notorious Bettie Page (2006)
bonnie-j-gordon,fresh,,baader_meinhof_complex,A long but powerful true-life drama of 1970s German terrorists features masterful storytelling and bravura performances.,Der Baader Meinhof Komplex (The Baader Meinhof Complex) (2008)
bonnie-j-gordon,fresh,,manda_bala,"Once you get past the gore, Manda Bala makes a powerful statement about the consequences of wanting the good life at any cost.",Manda Bala (Send a Bullet) (2007)
bonnie-stiernberg,fresh,9/10,amy_2015,"You'll leave with a renewed appreciation for a once-in-a-generation talent and a sense that the woman you just watched for two hours was complicated and important, bigger than life but undeniably human.",Amy (2015)
bonnie-stiernberg,fresh,7.5/10,the_beatles_eight_days_a_week_the_touring_years,"While it certainly doesn't break any new ground, it's a fun retelling of the band's meteoric rise.",The Beatles: Eight Days a Week - The Touring Years (2016)
boo-allen,rotten,,bewitched,"Director Nora Ephron takes an imaginative idea and turns it into a flat, skill-less dud.",Bewitched (2005)
boo-allen,rotten,,amityville_horror,"Why take an old. ugly lump of cheese and make it into a bigger, uglier, and smellier lump of cheese?",The Amityville Horror (2005)
boo-allen,fresh,,chrystal,Triple threat writer/actor/director Ray McKinnon renders a strange tale set in the beauty of the Ozarks.,Chrystal (2004)
boo-allen,rotten,,xxx_state_of_the_union,"Just what we need, a chubby, surly, incomprehensible action hero.",xXx: State of the Union (2005)
