critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
louisa-thomas,rotten,,twilight_saga_new_moon,If only director Chris Weitz had managed to tease out the real drama -- Bella's fear of aging -- instead of a tired one.,The Twilight Saga: New Moon (2009)
louise-agostino,rotten,,lets_be_cops,"You pretty much know what to expect with Let's Be Cops, it's juvenile and that's what makes it fun...for a while.",Let's Be Cops (2014)
louise-blain,fresh,,southbound,"There's something beautifully sandy and gritty about the majority of Southland's stories. America's highways are a never ending dustbowl of horror, interspersed with sad motels and grim gas stations and the atmosphere is enjoyably unsettling.",Southbound (2016)
louise-brealey,rotten,2/5,mixed_nuts,The beginning of Steve Martin's non-funny comedies. Ephron should know better as well.,Mixed Nuts (1994)
louise-brealey,fresh,,,Compelling enough to reel in a good-sized cult following.,
louise-busfield,fresh,3/5,my_pure_land,Most striking ... is the way Masud portrays strong independent women overcoming their struggles in this patriarchal society.,My Pure Land (2017)
louise-busfield,fresh,4/5,in_syria,A harrowing watch with an intense final scene.,In Syria (Insyriated) (2017)
louise-busfield,rotten,2/5,the_vault_2017,Just doesn't stand up against the stack of intelligent indie horror films being released today.,The Vault (2017)
louise-busfield,fresh,3/5,an_inconvenient_sequel_truth_to_power,Thought-provoking and oddly hopeful for a subject that seems so bleak.,An Inconvenient Sequel: Truth To Power (2017)
louise-busfield,fresh,4/5,step_2017,Inspiring and uplifting.,Step (2017)
louise-cole,fresh,,dance_girl_dance,"This jaunty RKO musical... was directed by Dorothy Arzner, and has been reclaimed over the years as a film of relevance to the feminist movement.","Dance, Girl, Dance (1940)"
louise-gray,fresh,,the_island_president,"If you are in a fight, you want this man on your side. He is charismatic, brave and most of all entirely believes in what he is what he is doing. I'm not sure he know the meaning of the word compromise.",The Island President (2012)
louise-keller,fresh,,the_way_back,..extreme challenge of human endeavour that ends with an overwhelming flush of emotion,The Way Back (2011)
louise-keller,fresh,,conviction_2010,"At times it feels like a TV movie, never quite achieving the gravitas and emotional heights it deserves, despite strong performances by Hilary Swank and Sam Rockwell.",Conviction (2010)
louise-keller,fresh,,the_girl_who_kicked_the_hornets_nest,"At 142 minutes, it's long with some confusion, but the luminous presence of its star Noomi Rapace makes it well worth the journey",The Girl Who Kicked the Hornet's Nest (2010)
louise-keller,fresh,,adjustment_bureau,"At times intriguing and at other times rather silly, this adaptation of Philip K. Dick's short story offers mystery and romance, yet is too tangible to be mysterious and is not sensual enough to be romantic",The Adjustment Bureau (2011)
louise-keller,fresh,,stephen_fry_wagner_and_me,It is Stephen Fry's obsession about the topic and the music that makes it so enjoyable,Stephen Fry: Wagner And Me (2010)
louise-keller,fresh,,hall_pass,It's not a fizzer but I had hoped for more. Heart and cutting edge are what's missing,Hall Pass (2011)
louise-keller,fresh,,rango,"There's a lot to like about Rango, the colourful, kooky chameleon looking for enlightenment in this unique and imaginative animation that takes the form of a Western, and embraces a zoo of weird and wonderful characters",Rango (2011)
louise-keller,fresh,,the-company-men,A punchy film that looks at the strength of the human spirit,The Company Men (2011)
